id,item_date,quantity tons,customer,country,status,item type,application,thickness,width,product_ref,delivery date,selling_price
44ED2428-42C4-4082-A950-A7D91F01B7DB,20201215.0,24.648098782500977,30157111.0,78.0,Success,W,41.0,0.7,1246.0,611993,20210301.0,981.0
BA34E927-E511-4148-85F2-674CEF9CB2FD,20201215.0,21.23779508755319,30157111.0,78.0,Success,W,41.0,1.5,1500.0,611993,20210301.0,828.0
A82C37D2-4A05-4354-B363-383B88B1FFA8,20201215.0,20.899385041690966,30157111.0,78.0,Success,W,41.0,1.25,1500.0,611993,20210301.0,894.0
34E92D84-B044-4174-9A40-F4051EC2CEE2,20201215.0,23.159208331518226,30157111.0,78.0,Success,W,41.0,1.5,1500.0,611993,20210301.0,918.0
60BD9856-21E3-4A59-8987-B74143419AA7,20201215.0,18.67603748578046,30157111.0,78.0,Success,W,41.0,0.75,1246.0,611993,20210301.0,1057.0
2688C498-F5EA-4F07-8328-F4EC2B904F62,20201215.0,21.35332138131246,30157111.0,78.0,Success,W,41.0,0.88,1500.0,611993,20210301.0,1052.0
6B7D9DA4-2456-4606-8205-9B9C365CB4CF,20201215.0,25.374232955375764,30157111.0,78.0,Success,W,41.0,0.75,1250.0,611993,20210301.0,1073.0
2C08F812-F53A-4026-AB43-4E058E622F37,20201215.0,23.290516748207896,30157111.0,78.0,Success,W,41.0,0.8,1250.0,611993,20210301.0,1075.0
CF7D1293-93EC-4B76-B1C0-89748C6B1439,20201215.0,21.067506228633103,30157111.0,78.0,Success,W,41.0,0.75,1250.0,611993,20210301.0,1078.0
76EAB446-5EF4-4FB1-86DD-4B13BD805C50,20201215.0,19.39928211387342,30157111.0,78.0,Success,W,41.0,1.0,1000.0,611993,20210301.0,990.0
76C4A22A-F863-486D-A207-6E1F82A13338,20201215.0,24.341467596479504,30157111.0,78.0,Success,W,41.0,0.75,1250.0,611993,20210301.0,1077.0
B54AF9BF-A421-406E-9604-AA535938A7A0,20201215.0,22.053059310566095,30157111.0,78.0,Success,W,41.0,1.0,950.0,611993,20210301.0,1002.0
1263EEA7-6B5E-4135-A8F6-9531307A0AF4,20201215.0,22.7407921934825,30157111.0,78.0,Success,W,41.0,0.63,1250.0,611993,20210301.0,1105.0
1992B9BB-5138-4D5F-8C51-BBFC847362DF,20201215.0,22.77124511071118,30157111.0,78.0,Success,W,41.0,1.0,1250.0,611993,20210301.0,980.0
1BC485F2-2BD3-4561-BF82-350B4A765DFE,20201215.0,20.319452260780196,30157111.0,78.0,Success,W,41.0,0.63,1250.0,611993,20210301.0,1143.0
EB2342DC-8CB0-408F-B274-4EA797E60DBD,20201215.0,20.95853894657902,30157111.0,78.0,Success,W,41.0,1.3,1295.0,611993,20210301.0,939.0
01E3FAF2-0FE9-4CFF-ADFE-E8F98C8DAF30,20201215.0,25.0384367967756,30157111.0,78.0,Success,W,41.0,1.25,1500.0,611993,20210301.0,841.0
